lat,lon,borough
51.53326,-0.12451,Camden
51.53727,-0.12466,Camden
51.539,-0.12404,Camden
51.54254,-0.12584,Camden
51.52418,-0.116598,Camden
51.526266,-0.122775,Camden
51.52908,-0.12269,Camden
51.521978,-0.110088,Camden
51.530076,-0.121063,Camden
51.521085,-0.107297,Camden
51.523672,-0.119064,Camden
51.526253,-0.126081,Camden
51.525608,-0.124792,Camden
51.527382,-0.117834,Camden
51.52834,-0.119375,Camden
51.525934,-0.114523,Camden
51.522722,-0.115794,Camden
51.523334,-0.12397,Camden
51.524663,-0.124917,Camden
51.525826,-0.118414,Camden
51.527464,-0.124216,Camden
51.517873,-0.108168,Camden
51.518194,-0.111783,Camden
51.517366,-0.127117,Camden
51.52206,-0.13621,Camden
51.516526,-0.129131,Camden
51.522751,-0.131646,Camden
51.519308,-0.108425,Camden
51.519623,-0.135941,Camden
51.524976,-0.132273,Camden
51.52216,-0.13983,Camden
51.518072,-0.134154,Camden
51.51887,-0.131574,Camden
51.517495,-0.129139,Camden
51.51997,-0.110948,Camden
51.520536,-0.117785,Camden
51.517653,-0.118601,Camden
51.517754,-0.121534,Camden
51.52185,-0.117147,Camden
51.519535,-0.11208,Camden
51.516098,-0.114701,Camden
51.522747,-0.125819,Camden
51.521073,-0.125222,Camden
51.513836,-0.125869,Camden
51.51472,-0.124815,Camden
51.520227,-0.128819,Camden
51.516455,-0.127425,Camden
51.515578,-0.127128,Camden
51.518334,-0.122878,Camden
51.519077,-0.115377,Camden
51.52312,-0.138079,Camden
51.517815,-0.126539,Camden
51.517699,-0.128162,Camden
51.52673,-0.130895,Camden
51.521543,-0.121802,Camden
51.514817,-0.12202,Camden
51.519364,-0.119046,Camden
51.5131,-0.12756,Camden
51.523878,-0.134454,Camden
51.520862,-0.115992,Camden
51.520865,-0.132773,Camden
51.518052,-0.123924,Camden
51.519089,-0.12459,Camden
51.528703,-0.13239,Camden
51.532318,-0.128012,Camden
51.534306,-0.125926,Camden
51.524852,-0.143104,Camden
51.526387,-0.139041,Camden
51.537441,-0.132911,Camden
51.538112,-0.130661,Camden
51.533957,-0.138051,Camden
51.535296,-0.133143,Camden
51.525873,-0.142804,Camden
51.528581,-0.143945,Camden
51.53353,-0.138802,Camden
51.537075,-0.135827,Camden
51.533614,-0.134123,Camden
51.540383,-0.131716,Camden
51.536343,-0.143321,Camden
51.539259,-0.141263,Camden
51.538242,-0.14372,Camden
51.539247,-0.144536,Camden
