lat,lon,borough
51.5301902,-0.2248727,Brent
51.534909,-0.19368,Brent
51.53246219,-0.233272326,Brent
51.52231,-0.09468,Islington
51.49438,-0.22704,Hammersmith and Fulham
51.493041,-0.219989,Hammersmith and Fulham
51.49292,-0.22103,Hammersmith and Fulham
51.50477,-0.21773,Hammersmith and Fulham
51.46953,-0.21022,Hammersmith and Fulham
51.476072,-0.193366,Hammersmith and Fulham
51.49122,-0.22447,Hammersmith and Fulham
51.4934,-0.23956,Hammersmith and Fulham
51.47291,-0.19909,Hammersmith and Fulham
51.47993,-0.22273,Hammersmith and Fulham
51.49379,-0.22604,Hammersmith and Fulham
51.50169,-0.22875,Hammersmith and Fulham
51.49663,-0.22385,Hammersmith and Fulham
51.50537,-0.22592,Hammersmith and Fulham
51.509144,-0.224277,Hammersmith and Fulham
51.4755,-0.20116,Hammersmith and Fulham
51.480934,-0.198879,Hammersmith and Fulham
51.51536,-0.24918,Hammersmith and Fulham
51.500021,-0.239206,Hammersmith and Fulham
51.492036,-0.229125,Hammersmith and Fulham
51.47528,-0.20158,Hammersmith and Fulham
51.468254,-0.198999,Hammersmith and Fulham
51.482886,-0.219513,Hammersmith and Fulham
51.48338,-0.21611,Hammersmith and Fulham
51.476777,-0.215821,Hammersmith and Fulham
51.47557,-0.20598,Hammersmith and Fulham
51.470311,-0.203181,Hammersmith and Fulham
51.484356,-0.205027,Hammersmith and Fulham
51.472806,-0.199928,Hammersmith and Fulham
51.491061,-0.208916,Hammersmith and Fulham
51.467189,-0.193178,Hammersmith and Fulham
51.483205,-0.211836,Hammersmith and Fulham
51.483776,-0.223845,Hammersmith and Fulham
51.487273,-0.205047,Hammersmith and Fulham
51.473152,-0.214479,Hammersmith and Fulham
51.51191,-0.23484,Hammersmith and Fulham
51.51039,-0.23477,Hammersmith and Fulham
51.50666,-0.24323,Hammersmith and Fulham
51.50185,-0.22255,Hammersmith and Fulham
51.50277,-0.218,Hammersmith and Fulham
51.49315,-0.23707,Hammersmith and Fulham
51.49282,-0.22689,Hammersmith and Fulham
51.49571,-0.2179,Hammersmith and Fulham
51.49496,-0.2165,Hammersmith and Fulham
51.49315,-0.21048,Hammersmith and Fulham
51.49087,-0.21336,Hammersmith and Fulham
51.49213,-0.20759,Hammersmith and Fulham
51.49092,-0.20569,Hammersmith and Fulham
51.48894,-0.22857,Hammersmith and Fulham
51.48736,-0.21813,Hammersmith and Fulham
51.48856,-0.20508,Hammersmith and Fulham
51.48863,-0.20445,Hammersmith and Fulham
51.4857,-0.2014,Hammersmith and Fulham
51.47931,-0.2116,Hammersmith and Fulham
51.47988,-0.19402,Hammersmith and Fulham
51.47942,-0.19564,Hammersmith and Fulham
51.47355,-0.20766,Hammersmith and Fulham
51.47642,-0.19295,Hammersmith and Fulham
51.47385,-0.19664,Hammersmith and Fulham
51.46719,-0.19315,Hammersmith and Fulham
51.50978,-0.22419,Hammersmith and Fulham
51.48602,-0.21449,Hammersmith and Fulham
